Raumname,Plaetze,Einrichtung,Raumart,Campus
WH C 447,0,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 456,30,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 258,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 348,60,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 349,80,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 352,30,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 445,60,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 446,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 257,30,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 340,60,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 354,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 356,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 350,80,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 353,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 357,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 442,30,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 335,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 355,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 424,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 444,44,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 448, ,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 448a,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 448b,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 449,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 450,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 451,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 452,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 537,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 576,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 579,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 624,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 625,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 635,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 637,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 638,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 640,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",IT-Labor,Wilhelminenhof
WH C 647,10,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4031,46,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4018,32,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5032,24,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4018,32,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4016,32,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4014,32,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4012,24,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4010,24,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4007,22,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4034,30,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4028,32,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 4026,32,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5020,80,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5017,70,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5014,70,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5011,40,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5010,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5009,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5005,37,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5003,40,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5034,30,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 5027,30,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH H 106,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH H 107,20,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 1112, ,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 1113, ,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH PBH 1115, ,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH C 210, ,"Fachbereich 4: Informatik, Kommunikation und Wirtschaft",Seminarraum,Wilhelminenhof
WH C 448a,20,FB4 AV-Schnittraum/Studio,Seminarraum,Wilhelminenhof
WH C 448b,20,FB4 AV-Schnittraum/Studio,Seminarraum,Wilhelminenhof
WH C 448, ,FB4 AV-Schnittraum/Studio,Seminarraum,Wilhelminenhof
WH C 579,20,FB4 Labor Game Technology & Interactive Systems,Seminarraum,Wilhelminenhof
WH PBH 4007,22,FB4 Labore Wirtschaftsingenieurwesen I - III,Seminarraum,Wilhelminenhof
WH PBH 4010,24,FB4 Labore Wirtschaftsingenieurwesen I - III,Seminarraum,Wilhelminenhof
WH PBH 4012,24,FB4 Labore Wirtschaftsingenieurwesen I - III,Seminarraum,Wilhelminenhof
WH C 573, ,Hochschule f�r Technik und Wirtschaft Berlin,Seminarraum,Wilhelminenhof
WH C 562, ,Hochschule f�r Technik und Wirtschaft Berlin,Seminarraum,Wilhelminenhof
WH C 639,20,Software-Engineering / Anwendungsentwicklung,Seminarraum,Wilhelminenhof
WH PBH 4007,22,WIW 1,Seminarraum,Wilhelminenhof
WH PBH 4010,24,WIW 2,Seminarraum,Wilhelminenhof
WH PBH 4012,24,WIW 3,IT-Labor,Wilhelminenhof
